* This data was exported from the Dayton Audio Test System: DATS
*
* Piston Diameter = 94.17 mm
* f(s)= 64.23 Hz
* R(e)= 8.6592 Ohms
* Z(max)= 21.206 Ohms
* Q(ms)= 1.3547
* Q(es)= 0.93495
* Q(ts)= 0.55318
* V(as)= 0 liters     (0 cubic feet)
* L(e)= 0.27725 mH
* n(0)= 0 %
* SPL= 0 1W/1m
* M(ms)= 0 grams
* C(ms)= 0 mm/N
* BL= 0 
* K(r)= 0.39122 
* X(r)= 0.32753 
* K(i)= 0.0020303 
* X(i)= 0.79397 
*
*
Freq            Impedance       Phase
1.029    	8.673    	2.430    
1.059    	8.673    	2.430    
1.091    	8.673    	2.430    
1.122    	8.673    	2.430    
1.155    	8.673    	2.430    
1.189    	8.673    	2.430    
1.224    	8.673    	2.430    
1.260    	8.673    	2.430    
1.297    	8.673    	2.430    
1.335    	8.665    	2.580    
1.374    	8.665    	2.580    
1.414    	8.665    	2.580    
1.456    	8.665    	2.580    
1.498    	8.665    	2.580    
1.542    	8.665    	2.580    
1.587    	8.665    	2.580    
1.634    	8.665    	2.580    
1.682    	8.665    	2.754    
1.731    	8.665    	2.754    
1.782    	8.665    	2.754    
1.834    	8.665    	2.754    
1.888    	8.665    	2.754    
1.943    	8.665    	2.754    
2.000    	8.671    	3.028    
2.059    	8.671    	3.028    
2.119    	8.671    	3.028    
2.181    	8.671    	3.028    
2.245    	8.671    	3.028    
2.311    	8.671    	3.028    
2.378    	8.683    	3.350    
2.448    	8.683    	3.350    
2.520    	8.683    	3.350    
2.594    	8.683    	3.350    
2.670    	8.691    	3.680    
2.748    	8.691    	3.680    
2.828    	8.691    	3.680    
2.911    	8.691    	3.680    
2.997    	8.698    	3.998    
3.084    	8.698    	3.998    
3.175    	8.698    	3.998    
3.268    	8.698    	3.998    
3.364    	8.714    	4.328    
3.462    	8.714    	4.328    
3.564    	8.714    	4.328    
3.668    	8.728    	4.718    
3.775    	8.728    	4.718    
3.886    	8.728    	4.718    
4.000    	8.746    	5.104    
4.117    	8.746    	5.104    
4.238    	8.746    	5.104    
4.362    	8.759    	5.483    
4.490    	8.759    	5.483    
4.621    	8.759    	5.483    
4.757    	8.776    	5.872    
4.896    	8.776    	5.872    
5.040    	8.791    	6.254    
5.187    	8.791    	6.254    
5.339    	8.808    	6.623    
5.496    	8.808    	6.623    
5.657    	8.829    	6.979    
5.823    	8.829    	6.979    
5.993    	8.855    	7.326    
6.169    	8.855    	7.326    
6.350    	8.888    	7.678    
6.536    	8.888    	7.678    
6.727    	8.920    	8.039    
6.924    	8.920    	8.039    
7.127    	8.952    	8.401    
7.336    	8.983    	8.764    
7.551    	8.983    	8.764    
7.772    	9.011    	9.133    
8.000    	9.039    	9.511    
8.234    	9.039    	9.511    
8.476    	9.067    	9.901    
8.724    	9.099    	10.298    
8.980    	9.135    	10.695    
9.243    	9.135    	10.695    
9.514    	9.174    	11.090    
9.792    	9.215    	11.482    
10.079    	9.252    	11.866    
10.375    	9.281    	12.230    
10.679    	9.307    	12.569    
10.992    	9.330    	12.891    
11.314    	9.352    	13.203    
11.645    	9.374    	13.503    
11.986    	9.400    	13.785    
12.338    	9.433    	14.057    
12.699    	9.471    	14.335    
13.071    	9.509    	14.626    
13.454    	9.544    	14.932    
13.849    	9.576    	15.244    
14.254    	9.612    	15.560    
14.672    	9.682    	16.053    
15.102    	9.763    	16.559    
15.545    	9.818    	16.882    
16.000    	9.907    	17.330    
16.469    	10.002    	17.762    
16.951    	10.091    	18.191    
17.448    	10.182    	18.618    
17.959    	10.278    	19.036    
18.486    	10.366    	19.451    
19.027    	10.442    	19.890    
19.585    	10.545    	20.443    
20.159    	10.635    	20.811    
20.749    	10.731    	21.187    
21.357    	10.851    	21.683    
21.983    	10.960    	22.154    
22.627    	11.110    	22.632    
23.290    	11.306    	23.023    
23.973    	11.493    	23.348    
24.675    	11.669    	23.695    
25.398    	11.863    	24.023    
26.143    	12.023    	24.406    
26.909    	12.227    	24.944    
27.697    	12.454    	25.468    
28.509    	12.685    	25.870    
29.344    	12.901    	26.152    
30.204    	13.169    	26.230    
31.089    	13.431    	26.052    
32.000    	13.749    	25.825    
32.938    	14.117    	25.571    
33.903    	14.565    	25.324    
34.896    	15.016    	25.058    
35.919    	15.480    	24.777    
36.971    	15.910    	24.523    
38.055    	16.310    	24.344    
39.170    	16.665    	23.957    
40.317    	16.918    	23.161    
41.499    	17.248    	22.106    
42.715    	17.547    	21.137    
43.967    	17.932    	20.097    
45.255    	18.462    	18.798    
46.581    	18.949    	17.259    
47.946    	19.363    	15.768    
49.351    	19.579    	14.108    
50.797    	19.735    	12.083    
52.285    	20.067    	10.431    
53.817    	20.351    	8.741    
55.394    	20.361    	7.286    
57.018    	20.280    	6.883    
58.688    	20.341    	5.812    
60.408    	20.474    	3.436    
62.178    	20.710    	0.494    
64.000    	21.146    	-2.466    
65.875    	21.012    	-4.899    
67.806    	20.580    	-6.330    
69.792    	19.940    	-8.196    
71.838    	19.487    	-10.260    
73.943    	19.094    	-11.573    
76.109    	18.700    	-12.566    
78.339    	17.833    	-14.240    
80.635    	17.456    	-15.996    
82.998    	17.200    	-16.461    
85.430    	16.765    	-15.951    
87.933    	16.027    	-16.373    
90.510    	15.602    	-17.555    
93.162    	15.409    	-18.005    
95.892    	15.000    	-17.777    
98.701    	14.445    	-18.029    
101.594    	14.176    	-18.064    
104.571    	13.764    	-16.853    
107.635    	13.256    	-16.994    
110.789    	13.174    	-16.925    
114.035    	12.901    	-15.485    
117.377    	12.476    	-15.266    
