Freq,Impedance,Phase
1772.619,10.495,19.719
1824.561,10.493,20.033
1878.024,10.496,20.440
1933.055,10.525,20.930
1989.697,10.550,21.467
2048.000,10.600,22.035
2108.011,10.655,22.645
2169.780,10.724,23.192
2233.360,10.800,23.820
2298.802,10.876,24.408
2366.162,10.972,25.003
2435.496,11.074,25.663
2506.862,11.191,26.262
2580.318,11.324,26.856
2655.927,11.469,27.410
2733.752,11.617,27.900
2813.857,11.769,28.390
2896.309,11.949,28.875
2981.178,12.147,29.255
3068.533,12.363,29.475
3158.448,12.551,29.391
3250.997,12.669,29.361
3346.259,12.790,29.448
3444.312,12.884,29.523
3545.238,12.955,29.805
3649.121,13.071,30.260
3756.049,13.225,30.626
3866.109,13.377,30.821
3979.395,13.492,31.001
4096.000,13.603,31.338
4216.022,13.725,31.652
4339.561,13.838,32.122
4466.720,14.018,32.724
4597.605,14.276,33.056
4732.325,14.534,33.030
4870.992,14.717,32.527
5013.723,14.659,32.118
5160.637,14.559,32.592
5311.855,14.575,33.526
5467.504,14.709,34.441
5627.714,14.874,35.203
5792.619,15.068,35.931
5962.355,15.291,36.569
6137.066,15.524,37.092
6316.896,15.726,37.539
6501.995,15.941,38.111
6692.518,16.187,38.606
6888.623,16.435,39.068
7090.476,16.662,39.495
7298.242,16.913,40.014
7512.097,17.184,40.499
7732.218,17.471,40.964
7958.790,17.760,41.372
8192.000,18.070,41.810
8432.044,18.404,42.131
8679.122,18.709,42.371
8933.439,18.994,42.691
9195.209,19.308,43.076
9464.649,19.649,43.383
9741.985,19.985,43.645
10027.447,20.317,43.893
10321.273,20.650,44.134
10623.710,20.985,44.384
10935.008,21.323,44.637
11255.428,21.671,44.915
11585.238,22.029,45.159
11924.711,22.385,45.418
12274.132,22.760,45.694
12633.791,23.153,45.914
13003.989,23.520,46.163
13385.035,23.919,46.430
13777.247,24.323,46.680
14180.951,24.740,46.933
14596.485,25.171,47.164
15024.194,25.608,47.380
15464.437,26.054,47.592
15917.579,26.511,47.792
16384.000,26.975,47.985
16864.088,27.446,48.167
17358.243,27.907,48.344
17866.879,28.361,48.523
18390.418,28.804,48.693
18929.299,29.236,48.852
19483.969,29.649,49.015
20054.893,30.030,49.202
20642.546,30.354,49.433
