Freq,Impedance,Phase
1.029,8.842,1.664    
1.059,8.842,1.664    
1.091,8.842,1.664    
1.122,8.842,1.664    
1.155,8.842,1.664    
1.189,8.842,1.664    
1.224,8.842,1.664    
1.260,8.842,1.664    
1.297,8.842,1.664    
1.335,8.826,1.873    
1.374,8.826,1.873    
1.414,8.826,1.873    
1.456,8.826,1.873    
1.498,8.826,1.873    
1.542,8.826,1.873    
1.587,8.826,1.873    
1.634,8.826,1.873    
1.682,8.814,2.078    
1.731,8.814,2.078    
1.782,8.814,2.078    
1.834,8.814,2.078    
1.888,8.814,2.078    
1.943,8.814,2.078    
2.000,8.811,2.439    
2.059,8.811,2.439    
2.119,8.811,2.439    
2.181,8.811,2.439    
2.245,8.811,2.439    
2.311,8.811,2.439    
2.378,8.820,2.852    
2.448,8.820,2.852    
2.520,8.820,2.852    
2.594,8.820,2.852    
2.670,8.830,3.261    
2.748,8.830,3.261    
2.828,8.830,3.261    
2.911,8.830,3.261    
2.997,8.837,3.580    
3.084,8.837,3.580    
3.175,8.837,3.580    
3.268,8.837,3.580    
3.364,8.849,3.900    
3.462,8.849,3.900    
3.564,8.849,3.900    
3.668,8.854,4.281    
3.775,8.854,4.281    
3.886,8.854,4.281    
4.000,8.871,4.664    
4.117,8.871,4.664    
4.238,8.871,4.664    
4.362,8.891,5.030    
4.490,8.891,5.030    
4.621,8.891,5.030    
4.757,8.921,5.383    
4.896,8.921,5.383    
5.040,8.949,5.718    
5.187,8.949,5.718    
5.339,8.972,6.048    
5.496,8.972,6.048    
5.657,8.994,6.384    
5.823,8.994,6.384    
5.993,9.017,6.714    
6.169,9.017,6.714    
6.350,9.044,7.034    
6.536,9.044,7.034    
6.727,9.072,7.347    
6.924,9.072,7.347    
7.127,9.100,7.665    
7.336,9.131,7.993    
7.551,9.131,7.993    
7.772,9.166,8.322    
8.000,9.203,8.643    
8.234,9.203,8.643    
8.476,9.239,8.959    
8.724,9.272,9.283    
8.980,9.305,9.612    
9.243,9.305,9.612    
9.514,9.342,9.936    
9.792,9.381,10.247    
10.079,9.417,10.549    
10.375,9.451,10.849    
10.679,9.484,11.147    
10.992,9.519,11.436    
11.314,9.550,11.713    
11.645,9.578,11.983    
11.986,9.608,12.251    
12.338,9.644,12.512    
12.699,9.683,12.756    
13.071,9.724,12.977    
13.454,9.767,13.185    
13.849,9.814,13.385    
14.254,9.863,13.571    
14.672,9.937,13.819    
15.102,10.012,14.070    
15.545,10.063,14.244    
16.000,10.143,14.491    
16.469,10.226,14.743    
16.951,10.313,15.008    
17.448,10.404,15.259    
17.959,10.490,15.505    
18.486,10.571,15.748    
19.027,10.656,15.985    
19.585,10.771,16.296    
20.159,10.859,16.504    
20.749,10.948,16.687    
21.357,11.073,16.879    
21.983,11.189,17.012    
22.627,11.287,17.111    
