Freq,Impedance,Phase
1.029,8.693,2.369    
1.059,8.693,2.369    
1.091,8.693,2.369    
1.122,8.693,2.369    
1.155,8.693,2.369    
1.189,8.693,2.369    
1.224,8.693,2.369    
1.260,8.693,2.369    
1.297,8.693,2.369    
1.335,8.687,2.494    
1.374,8.687,2.494    
1.414,8.687,2.494    
1.456,8.687,2.494    
1.498,8.687,2.494    
1.542,8.687,2.494    
1.587,8.687,2.494    
1.634,8.687,2.494    
1.682,8.681,2.637    
1.731,8.681,2.637    
1.782,8.681,2.637    
1.834,8.681,2.637    
1.888,8.681,2.637    
1.943,8.681,2.637    
2.000,8.682,2.824    
2.059,8.682,2.824    
2.119,8.682,2.824    
2.181,8.682,2.824    
2.245,8.682,2.824    
2.311,8.682,2.824    
2.378,8.690,3.059    
2.448,8.690,3.059    
2.520,8.690,3.059    
2.594,8.690,3.059    
2.670,8.700,3.340    
2.748,8.700,3.340    
2.828,8.700,3.340    
2.911,8.700,3.340    
2.997,8.714,3.653    
3.084,8.714,3.653    
3.175,8.714,3.653    
3.268,8.714,3.653    
3.364,8.733,3.990    
3.462,8.733,3.990    
3.564,8.733,3.990    
3.668,8.750,4.354    
3.775,8.750,4.354    
3.886,8.750,4.354    
4.000,8.766,4.723    
4.117,8.766,4.723    
4.238,8.766,4.723    
4.362,8.775,5.100    
4.490,8.775,5.100    
4.621,8.775,5.100    
4.757,8.795,5.490    
4.896,8.795,5.490    
5.040,8.817,5.881    
5.187,8.817,5.881    
5.339,8.842,6.257    
5.496,8.842,6.257    
5.657,8.867,6.614    
5.823,8.867,6.614    
5.993,8.891,6.961    
6.169,8.891,6.961    
6.350,8.915,7.309    
6.536,8.915,7.309    
6.727,8.939,7.656    
6.924,8.939,7.656    
7.127,8.963,7.997    
7.336,8.987,8.334    
7.551,8.987,8.334    
7.772,9.011,8.670    
8.000,9.033,9.009    
8.234,9.033,9.009    
8.476,9.057,9.348    
8.724,9.085,9.685    
8.980,9.117,10.020    
9.243,9.117,10.020    
9.514,9.151,10.360    
9.792,9.188,10.706    
10.079,9.226,11.054    
10.375,9.264,11.398    
10.679,9.299,11.735    
10.992,9.330,12.071    
11.314,9.358,12.407    
11.645,9.385,12.740    
11.986,9.414,13.061    
12.338,9.446,13.371    
12.699,9.478,13.665    
13.071,9.511,13.941    
13.454,9.548,14.200    
13.849,9.588,14.445    
14.254,9.629,14.682    
14.672,9.695,15.034    
15.102,9.766,15.398    
15.545,9.815,15.650    
16.000,9.896,16.039    
16.469,9.985,16.436    
16.951,10.074,16.827    
17.448,10.161,17.208    
17.959,10.244,17.588    
18.486,10.323,17.959    
19.027,10.409,18.322    
19.585,10.533,18.796    
20.159,10.627,19.126    
20.749,10.723,19.434    
21.357,10.851,19.804    
21.983,10.979,20.135    
22.627,11.108,20.437    
23.290,11.257,20.711    
23.973,11.417,20.948    
24.675,11.580,21.151    
25.398,11.746,21.325    
26.143,11.917,21.487    
26.909,12.131,21.700    
27.697,12.345,21.914    
28.509,12.506,22.055    
29.344,12.691,22.149    
30.204,12.901,22.105    
31.089,13.077,21.936    
32.000,13.288,21.611    
32.938,13.550,21.184    
33.903,13.858,20.724    
34.896,14.174,20.320    
35.919,14.471,19.995    
36.971,14.734,19.706    
38.055,14.963,19.363    
39.170,15.186,18.830    
40.317,15.393,18.165    
41.499,15.606,17.395    
42.715,15.815,16.604    
43.967,16.050,15.578    
45.255,16.293,14.458    
46.581,16.448,13.502    
47.946,16.593,12.523    
49.351,16.812,11.173    
50.797,16.997,9.816    
52.285,16.907,8.846    
53.817,16.946,7.576    
55.394,17.092,6.196    
57.018,17.244,5.503    
58.688,17.167,5.321    
60.408,16.838,4.416    
62.178,16.666,2.291    
64.000,16.879,1.242    
65.875,17.006,1.044    
67.806,16.960,-0.167    
69.792,16.936,-1.854    
71.838,16.789,-3.481    
73.943,16.460,-4.982    
76.109,16.029,-6.482    
78.339,15.731,-6.141    
80.635,15.221,-7.303    
82.998,14.998,-8.284    
85.430,14.943,-8.193    
87.933,14.550,-7.536    
90.510,14.232,-7.802    
93.162,14.099,-7.928    
95.892,13.894,-7.400    
98.701,13.469,-7.588    
101.594,13.339,-8.111    
104.571,13.351,-6.851    
107.635,13.001,-5.418    
110.789,12.797,-5.449    
114.035,12.843,-4.930    
117.377,12.654,-4.221    
120.816,12.684,-4.181    
124.356,12.656,-2.175    
128.000,12.243,-1.754    
131.751,12.433,-1.400    
135.611,12.501,0.829    
139.585,12.525,1.798    
143.675,12.697,3.854    
147.885,12.887,4.415    
152.219,13.604,6.198    
156.679,13.729,7.234    
161.270,14.472,7.713    
165.995,15.248,8.369    
170.860,16.512,7.692    
175.866,16.942,4.481    
181.019,17.682,4.379    
186.324,18.879,2.934    
191.783,20.418,-1.212    
197.403,21.425,-8.000    
203.187,21.148,-14.286    
209.141,20.710,-20.171    
215.269,19.511,-26.469    
221.577,17.604,-30.741    
228.070,15.958,-32.379    
234.753,14.639,-32.989    
241.632,13.464,-32.560    
248.712,12.591,-31.298    
256.000,11.925,-29.879    
263.501,11.389,-28.268    
271.223,10.970,-26.628    
279.170,10.663,-25.005    
287.350,10.401,-23.528    
295.770,10.179,-22.021    
304.437,9.997,-20.622    
313.358,9.826,-19.187    
322.540,9.704,-17.800    
331.991,9.603,-16.600    
341.719,9.512,-15.413    
351.732,9.441,-14.291    
362.039,9.386,-13.212    
372.647,9.335,-12.220    
383.567,9.281,-11.258    
394.806,9.239,-10.272    
406.375,9.209,-9.293    
418.282,9.196,-8.374    
430.539,9.191,-7.531    
443.155,9.189,-6.784    
456.140,9.175,-6.060    
469.506,9.164,-5.366    
483.264,9.152,-4.615    
497.424,9.145,-3.882    
512.000,9.148,-3.135    
527.003,9.159,-2.412    
542.445,9.168,-1.703    
558.340,9.188,-1.006    
574.701,9.220,-0.348    
