Freq,Impedance,Phase
1.029,8.900,2.425    
1.059,8.900,2.425    
1.091,8.900,2.425    
1.122,8.900,2.425    
1.155,8.900,2.425    
1.189,8.900,2.425    
1.224,8.900,2.425    
1.260,8.900,2.425    
1.297,8.900,2.425    
1.335,8.893,2.540    
1.374,8.893,2.540    
1.414,8.893,2.540    
1.456,8.893,2.540    
1.498,8.893,2.540    
1.542,8.893,2.540    
1.587,8.893,2.540    
1.634,8.893,2.540    
1.682,8.884,2.672    
1.731,8.884,2.672    
1.782,8.884,2.672    
1.834,8.884,2.672    
1.888,8.884,2.672    
1.943,8.884,2.672    
2.000,8.883,2.833    
2.059,8.883,2.833    
2.119,8.883,2.833    
2.181,8.883,2.833    
2.245,8.883,2.833    
2.311,8.883,2.833    
2.378,8.891,3.040    
2.448,8.891,3.040    
2.520,8.891,3.040    
2.594,8.891,3.040    
2.670,8.903,3.317    
2.748,8.903,3.317    
2.828,8.903,3.317    
2.911,8.903,3.317    
2.997,8.915,3.639    
3.084,8.915,3.639    
3.175,8.915,3.639    
3.268,8.915,3.639    
3.364,8.932,3.996    
3.462,8.932,3.996    
3.564,8.932,3.996    
3.668,8.946,4.367    
3.775,8.946,4.367    
3.886,8.946,4.367    
4.000,8.963,4.743    
4.117,8.963,4.743    
4.238,8.963,4.743    
4.362,8.976,5.131    
4.490,8.976,5.131    
4.621,8.976,5.131    
4.757,8.996,5.523    
4.896,8.996,5.523    
5.040,9.015,5.905    
5.187,9.015,5.905    
5.339,9.034,6.267    
5.496,9.034,6.267    
5.657,9.054,6.607    
5.823,9.054,6.607    
5.993,9.075,6.938    
6.169,9.075,6.938    
6.350,9.101,7.269    
6.536,9.101,7.269    
6.727,9.130,7.597    
6.924,9.130,7.597    
7.127,9.161,7.922    
7.336,9.192,8.245    
7.551,9.192,8.245    
7.772,9.221,8.567    
8.000,9.249,8.893    
8.234,9.249,8.893    
8.476,9.278,9.222    
8.724,9.307,9.557    
8.980,9.337,9.896    
9.243,9.337,9.896    
9.514,9.372,10.237    
9.792,9.413,10.578    
10.079,9.454,10.914    
10.375,9.492,11.239    
10.679,9.526,11.551    
10.992,9.555,11.853    
11.314,9.580,12.150    
11.645,9.605,12.440    
11.986,9.634,12.728    
12.338,9.669,13.011    
12.699,9.709,13.281    
13.071,9.751,13.531    
13.454,9.797,13.760    
13.849,9.844,13.978    
14.254,9.891,14.190    
14.672,9.959,14.507    
15.102,10.027,14.839    
15.545,10.075,15.076    
16.000,10.160,15.439    
16.469,10.257,15.802    
16.951,10.356,16.145    
17.448,10.450,16.470    
17.959,10.533,16.792    
18.486,10.610,17.115    
19.027,10.694,17.443    
19.585,10.814,17.867    
20.159,10.911,18.146    
20.749,11.009,18.382    
21.357,11.139,18.641    
21.983,11.262,18.863    
22.627,11.378,19.087    
23.290,11.510,19.293    
23.973,11.664,19.457    
24.675,11.828,19.568    
25.398,11.989,19.636    
26.143,12.143,19.697    
26.909,12.328,19.817    
27.697,12.523,19.972    
28.509,12.676,20.069    
29.344,12.849,20.086    
30.204,13.030,19.931    
31.089,13.168,19.702    
32.000,13.338,19.368    
32.938,13.558,18.928    
33.903,13.816,18.398    
34.896,14.071,17.895    
35.919,14.312,17.508    
36.971,14.541,17.226    
38.055,14.757,16.954    
39.170,14.962,16.559    
40.317,15.105,16.093    
41.499,15.207,15.574    
42.715,15.312,14.958    
43.967,15.451,13.954    
45.255,15.632,12.781    
46.581,15.807,11.889    
47.946,15.947,11.307    
49.351,16.014,10.664    
50.797,16.077,9.637    
52.285,16.151,8.297    
53.817,16.252,7.170    
55.394,16.399,6.394    
57.018,16.472,6.042    
58.688,16.437,5.705    
60.408,16.237,4.879    
62.178,16.041,3.616    
64.000,16.052,2.384    
65.875,16.222,1.397    
67.806,16.298,0.914    
69.792,16.204,0.234    
71.838,16.047,-0.993    
73.943,15.962,-2.030    
76.109,15.863,-2.600    
78.339,15.519,-3.153    
80.635,15.033,-4.299    
82.998,14.887,-5.588    
85.430,14.946,-5.557    
87.933,14.681,-4.740    
90.510,14.237,-4.958    
93.162,14.049,-5.487    
95.892,13.888,-4.988    
98.701,13.570,-4.579    
101.594,13.478,-5.081    
104.571,13.634,-4.009    
107.635,13.308,-2.322    
110.789,13.008,-2.950    
114.035,13.166,-2.696    
117.377,13.033,-1.296    
120.816,13.010,-0.863    
124.356,13.130,0.937    
128.000,12.837,1.637    
131.751,13.214,1.410    
135.611,13.525,3.709    
139.585,13.486,3.771    
143.675,13.776,4.475    
147.885,13.914,4.797    
152.219,14.661,6.240    
156.679,14.804,6.806    
161.270,15.599,5.694    
165.995,16.114,5.991    
170.860,16.738,5.325    
175.866,17.303,4.338    
181.019,18.654,3.761    
186.324,19.600,1.164    
191.783,20.909,-3.486    
197.403,21.772,-9.856    
203.187,21.204,-15.971    
209.141,20.799,-22.127    
215.269,19.132,-27.625    
221.577,17.359,-31.033    
228.070,15.828,-32.241    
234.753,14.513,-32.679    
241.632,13.444,-31.860    
248.712,12.629,-30.441    
256.000,12.075,-29.137    
263.501,11.540,-27.819    
271.223,11.134,-26.223    
279.170,10.797,-24.683    
287.350,10.542,-23.088    
295.770,10.315,-21.554    
304.437,10.158,-20.149    
313.358,9.989,-18.790    
322.540,9.886,-17.392    
331.991,9.782,-16.294    
341.719,9.687,-15.119    
351.732,9.612,-14.012    
362.039,9.552,-12.930    
372.647,9.509,-11.961    
383.567,9.460,-11.000    
394.806,9.415,-10.067    
406.375,9.387,-9.109    
418.282,9.375,-8.212    
430.539,9.366,-7.393    
443.155,9.363,-6.647    
456.140,9.352,-5.927    
469.506,9.340,-5.241    
483.264,9.331,-4.504    
497.424,9.325,-3.787    
512.000,9.328,-3.057    
527.003,9.337,-2.356    
542.445,9.347,-1.655    
558.340,9.369,-0.972    
574.701,9.400,-0.337    
591.541,9.439,0.238    
608.874,9.485,0.679    
626.715,9.514,0.959    
645.080,9.501,1.252    
663.982,9.473,1.666    
683.438,9.438,2.255    
703.464,9.421,2.996    
724.077,9.423,3.755    
745.294,9.441,4.546    
767.133,9.472,5.339    
789.612,9.512,6.124    
812.749,9.568,6.905    
836.565,9.642,7.705    
861.078,9.736,8.482    
886.309,9.859,9.241    
912.280,10.024,9.890    
939.012,10.240,10.274    
966.527,10.488,10.152    
994.849,10.719,9.387    
1024.000,10.844,7.904    
1054.005,10.645,5.931    
1084.890,10.172,5.783    
1116.680,9.932,7.518    
1149.401,9.911,8.977    
