Freq,Impedance,Phase
1054.005,10.464,6.220    
1084.890,9.993,5.873    
1116.680,9.745,7.636    
1149.401,9.721,9.100    
1183.081,9.754,10.257    
1217.748,9.801,11.166    
1253.431,9.857,12.072    
1290.159,9.940,12.918    
1327.964,10.036,13.612    
1366.876,10.123,14.281    
1406.929,10.228,14.904    
1448.155,10.334,15.515    
1490.589,10.462,16.176    
1534.266,10.642,16.834    
1579.224,10.895,17.121    
1625.499,11.138,16.735    
1673.129,11.295,15.831    
1722.156,11.259,14.862    
1772.619,11.133,14.598    
1824.561,11.035,14.832    
1878.024,10.976,15.243    
1933.055,10.929,15.747    
1989.697,10.896,16.376    
2048.000,10.893,17.057    
2108.011,10.909,17.858    
2169.780,10.965,18.599    
2233.360,11.024,19.267    
2298.802,11.069,19.873    
2366.162,11.125,20.751    
2435.496,11.236,21.537    
2506.862,11.358,22.239    
2580.318,11.514,22.822    
2655.927,11.664,22.956    
2733.752,11.629,23.279    
2813.857,11.707,24.428    
2896.309,11.885,25.302    
2981.178,12.093,26.073    
3068.533,12.385,26.549    
3158.448,12.689,26.365    
3250.997,12.746,25.090    
3346.259,12.572,25.924    
3444.312,12.740,26.807    
3545.238,12.908,27.219    
3649.121,13.087,27.176    
3756.049,13.130,27.327    
3866.109,13.112,27.560    
3979.395,13.166,28.544    
4096.000,13.328,29.319    
4216.022,13.507,29.857    
4339.561,13.672,30.353    
4466.720,13.838,30.753    
4597.605,13.993,31.054    
4732.325,14.108,31.762    
4870.992,14.366,32.319    
5013.723,14.599,32.443    
5160.637,14.789,32.479    
5311.855,14.816,32.429    
5467.504,14.861,33.176    
5627.714,15.051,33.906    
5792.619,15.224,34.347    
5962.355,15.370,34.951    
6137.066,15.600,35.673    
6316.896,15.852,36.100    
6501.995,16.088,36.499    
6692.518,16.319,36.789    
6888.623,16.496,37.038    
7090.476,16.644,37.651    
7298.242,16.923,38.223    
7512.097,17.167,38.578    
7732.218,17.384,39.026    
7958.790,17.646,39.547    
8192.000,17.914,39.985    
8432.044,18.194,40.469    
8679.122,18.507,40.897    
8933.439,18.819,41.202    
9195.209,19.094,41.515    
9464.649,19.383,41.913    
9741.985,19.700,42.281    
10027.447,20.020,42.624    
10321.273,20.344,42.905    
10623.710,20.648,43.198    
10935.008,20.961,43.567    
11255.428,21.305,43.947    
11585.238,21.670,44.261    
11924.711,22.023,44.537    
12274.132,22.373,44.849    
12633.791,22.753,45.153    
13003.989,23.118,45.462    
13385.035,23.509,45.778    
13777.247,23.906,46.070    
14180.951,24.310,46.359    
14596.485,24.721,46.646    
15024.194,25.148,46.934    
15464.437,25.590,47.210    
15917.579,26.041,47.463    
16384.000,26.499,47.706    
16864.088,26.961,47.939    
17358.243,27.419,48.167    
17866.879,27.869,48.392    
18390.418,28.310,48.607    
18929.299,28.740,48.808    
19483.969,29.159,49.012    
20054.893,29.550,49.213    
20642.546,29.883,49.471    
