Freq,Impedance,Phase
1054.005,10.485,6.450    
1084.890,10.029,5.853    
1116.680,9.757,7.539    
1149.401,9.725,9.041    
1183.081,9.757,10.188    
1217.748,9.803,11.134    
1253.431,9.864,12.049    
1290.159,9.949,12.890    
1327.964,10.046,13.549    
1366.876,10.131,14.211    
1406.929,10.233,14.821    
1448.155,10.337,15.453    
1490.589,10.471,16.112    
1534.266,10.656,16.744    
1579.224,10.904,17.040    
1625.499,11.165,16.795    
1673.129,11.396,15.649    
1722.156,11.307,14.119    
1772.619,11.069,13.953    
1824.561,10.953,14.501    
1878.024,10.905,15.047    
1933.055,10.854,15.622    
1989.697,10.827,16.425    
2048.000,10.859,17.188    
2108.011,10.896,17.915    
2169.780,10.955,18.681    
2233.360,11.060,19.313    
2298.802,11.081,19.696    
2366.162,11.144,20.619    
2435.496,11.277,21.270    
2506.862,11.372,21.628    
2580.318,11.428,22.192    
2655.927,11.506,22.836    
2733.752,11.588,23.546    
2813.857,11.710,24.394    
2896.309,11.880,25.146    
2981.178,12.078,25.883    
3068.533,12.368,26.315    
3158.448,12.655,26.155    
3250.997,12.740,24.892    
3346.259,12.557,25.513    
3444.312,12.676,26.347    
3545.238,12.824,26.842    
3649.121,12.968,26.950    
3756.049,13.019,27.277    
3866.109,13.108,27.619    
3979.395,13.149,28.127    
4096.000,13.255,28.903    
4216.022,13.407,29.528    
4339.561,13.568,30.073    
4466.720,13.729,30.567    
4597.605,13.918,30.981    
4732.325,14.061,31.431    
4870.992,14.283,31.955    
5013.723,14.495,32.033    
5160.637,14.651,32.184    
5311.855,14.710,32.177    
5467.504,14.727,32.900    
5627.714,14.922,33.620    
5792.619,15.083,34.126    
5962.355,15.239,34.760    
6137.066,15.477,35.456    
6316.896,15.726,35.834    
6501.995,15.941,36.211    
6692.518,16.160,36.517    
6888.623,16.329,36.789    
7090.476,16.481,37.437    
7298.242,16.758,37.982    
7512.097,16.986,38.336    
7732.218,17.199,38.819    
7958.790,17.461,39.340    
8192.000,17.720,39.783    
8432.044,17.998,40.273    
8679.122,18.307,40.692    
8933.439,18.608,40.981    
9195.209,18.871,41.321    
9464.649,19.154,41.730    
9741.985,19.463,42.128    
10027.447,19.784,42.465    
10321.273,20.103,42.741    
10623.710,20.393,43.049    
10935.008,20.702,43.446    
11255.428,21.045,43.822    
11585.238,21.399,44.141    
11924.711,21.745,44.419    
12274.132,22.089,44.756    
12633.791,22.466,45.053    
13003.989,22.817,45.376    
13385.035,23.196,45.702    
13777.247,23.585,46.011    
14180.951,23.977,46.311    
14596.485,24.384,46.606    
15024.194,24.801,46.908    
15464.437,25.238,47.188    
15917.579,25.674,47.447    
16384.000,26.120,47.703    
16864.088,26.575,47.945    
17358.243,27.027,48.194    
17866.879,27.480,48.441    
18390.418,27.934,48.679    
18929.299,28.384,48.911    
19483.969,28.831,49.137    
20054.893,29.270,49.367    
20642.546,29.699,49.664    
