Freq,Impedance,Phase
1.029,8.779,2.264    
1.059,8.779,2.264    
1.091,8.779,2.264    
1.122,8.779,2.264    
1.155,8.779,2.264    
1.189,8.779,2.264    
1.224,8.779,2.264    
1.260,8.779,2.264    
1.297,8.779,2.264    
1.335,8.773,2.413    
1.374,8.773,2.413    
1.414,8.773,2.413    
1.456,8.773,2.413    
1.498,8.773,2.413    
1.542,8.773,2.413    
1.587,8.773,2.413    
1.634,8.773,2.413    
1.682,8.775,2.576    
1.731,8.775,2.576    
1.782,8.775,2.576    
1.834,8.775,2.576    
1.888,8.775,2.576    
1.943,8.775,2.576    
2.000,8.781,2.841    
2.059,8.781,2.841    
2.119,8.781,2.841    
2.181,8.781,2.841    
2.245,8.781,2.841    
2.311,8.781,2.841    
2.378,8.791,3.153    
2.448,8.791,3.153    
2.520,8.791,3.153    
2.594,8.791,3.153    
2.670,8.794,3.462    
2.748,8.794,3.462    
2.828,8.794,3.462    
2.911,8.794,3.462    
2.997,8.801,3.748    
3.084,8.801,3.748    
3.175,8.801,3.748    
3.268,8.801,3.748    
3.364,8.819,4.047    
3.462,8.819,4.047    
3.564,8.819,4.047    
3.668,8.840,4.414    
3.775,8.840,4.414    
3.886,8.840,4.414    
4.000,8.862,4.789    
4.117,8.862,4.789    
4.238,8.862,4.789    
4.362,8.876,5.163    
4.490,8.876,5.163    
4.621,8.876,5.163    
4.757,8.896,5.546    
4.896,8.896,5.546    
5.040,8.918,5.920    
5.187,8.918,5.920    
5.339,8.941,6.277    
5.496,8.941,6.277    
5.657,8.966,6.620    
5.823,8.966,6.620    
5.993,8.992,6.950    
6.169,8.992,6.950    
6.350,9.020,7.276    
6.536,9.020,7.276    
6.727,9.050,7.605    
6.924,9.050,7.605    
7.127,9.082,7.934    
7.336,9.115,8.265    
7.551,9.115,8.265    
7.772,9.148,8.601    
8.000,9.183,8.938    
8.234,9.183,8.938    
8.476,9.219,9.276    
8.724,9.254,9.615    
8.980,9.288,9.952    
9.243,9.288,9.952    
9.514,9.324,10.290    
9.792,9.364,10.625    
10.079,9.404,10.953    
10.375,9.440,11.271    
10.679,9.472,11.580    
10.992,9.500,11.884    
11.314,9.527,12.182    
11.645,9.555,12.468    
11.986,9.588,12.742    
12.338,9.626,13.010    
12.699,9.666,13.267    
13.071,9.709,13.502    
13.454,9.754,13.718    
13.849,9.801,13.925    
14.254,9.849,14.127    
14.672,9.924,14.416    
15.102,9.998,14.704    
15.545,10.047,14.905    
16.000,10.131,15.209    
16.469,10.226,15.511    
16.951,10.317,15.813    
17.448,10.408,16.111    
17.959,10.496,16.401    
18.486,10.580,16.687    
19.027,10.668,16.963    
19.585,10.788,17.298    
20.159,10.880,17.516    
20.749,10.974,17.698    
21.357,11.097,17.896    
21.983,11.217,18.076    
22.627,11.330,18.243    
23.290,11.454,18.383    
23.973,11.590,18.487    
24.675,11.735,18.547    
25.398,11.879,18.586    
26.143,12.028,18.621    
26.909,12.204,18.683    
27.697,12.382,18.747    
28.509,12.512,18.780    
29.344,12.656,18.745    
30.204,12.798,18.585    
31.089,12.903,18.350    
32.000,13.035,18.000    
32.938,13.210,17.558    
33.903,13.423,17.058    
34.896,13.650,16.612    
35.919,13.866,16.281    
