Freq,Impedance,Phase
1054.005,10.470,5.866    
1084.890,9.971,5.684    
1116.680,9.733,7.528    
1149.401,9.711,9.005    
1183.081,9.749,10.178    
1217.748,9.795,11.087    
1253.431,9.852,11.999    
1290.159,9.934,12.864    
1327.964,10.036,13.559    
1366.876,10.120,14.208    
1406.929,10.227,14.851    
1448.155,10.337,15.462    
1490.589,10.463,16.108    
1534.266,10.636,16.786    
1579.224,10.896,17.106    
1625.499,11.155,16.807    
1673.129,11.380,15.741    
1722.156,11.293,14.257    
1772.619,11.081,14.179    
1824.561,10.985,14.621    
1878.024,10.931,15.045    
1933.055,10.870,15.613    
1989.697,10.844,16.403    
2048.000,10.872,17.163    
2108.011,10.906,17.874    
2169.780,10.965,18.636    
2233.360,11.062,19.219    
2298.802,11.074,19.667    
2366.162,11.149,20.538    
2435.496,11.252,21.151    
2506.862,11.328,21.717    
2580.318,11.425,22.409    
2655.927,11.537,22.960    
2733.752,11.621,23.523    
2813.857,11.719,24.328    
2896.309,11.879,25.136    
2981.178,12.088,25.891    
3068.533,12.371,26.184    
3158.448,12.653,26.215    
3250.997,12.714,24.819    
3346.259,12.544,25.657    
3444.312,12.687,26.476    
3545.238,12.832,26.911    
3649.121,13.004,27.141    
3756.049,13.095,27.230    
3866.109,13.124,27.320    
3979.395,13.112,28.104    
4096.000,13.251,29.001    
4216.022,13.424,29.578    
4339.561,13.596,30.122    
4466.720,13.756,30.476    
4597.605,13.934,30.929    
4732.325,14.049,31.354    
4870.992,14.264,31.990    
5013.723,14.493,32.149    
5160.637,14.674,32.223    
5311.855,14.745,32.216    
5467.504,14.761,32.836    
5627.714,14.927,33.577    
5792.619,15.102,34.093    
5962.355,15.250,34.692    
6137.066,15.485,35.409    
6316.896,15.729,35.790    
6501.995,15.950,36.226    
6692.518,16.182,36.519    
6888.623,16.350,36.750    
7090.476,16.495,37.372    
7298.242,16.761,37.951    
7512.097,17.002,38.312    
7732.218,17.216,38.764    
7958.790,17.474,39.288    
8192.000,17.735,39.725    
8432.044,18.007,40.214    
8679.122,18.311,40.642    
8933.439,18.617,40.956    
9195.209,18.887,41.285    
9464.649,19.171,41.679    
9741.985,19.478,42.068    
10027.447,19.795,42.412    
10321.273,20.116,42.697    
10623.710,20.410,43.000    
10935.008,20.714,43.376    
11255.428,21.055,43.764    
11585.238,21.410,44.081    
11924.711,21.757,44.360    
12274.132,22.099,44.683    
12633.791,22.472,44.989    
13003.989,22.823,45.318    
13385.035,23.206,45.634    
13777.247,23.595,45.933    
14180.951,23.988,46.234    
14596.485,24.393,46.535    
15024.194,24.805,46.830    
15464.437,25.240,47.117    
15917.579,25.680,47.378    
16384.000,26.123,47.632    
16864.088,26.579,47.872    
17358.243,27.033,48.117    
17866.879,27.484,48.358    
18390.418,27.929,48.601    
18929.299,28.378,48.828    
19483.969,28.825,49.056    
20054.893,29.268,49.301    
20642.546,29.683,49.572    
